sf,strategy,query_id,elapsed_N2,elapsed_N5,node_scaling_speedup,time_reduction_pct,scaling_efficiency,time_comparison_class
50,D1,Q023,15.374,15.168,1.013581223628692,1.3399245479380857,0.4054324894514768,Similar (+/-5%)
50,D1,Q024,468.582,436.216,1.0741971867148385,6.907222215108559,0.4296788746859354,N5 mai rapid
50,D1,Q025,346.354,192.765,1.7967680854926984,44.34451457179649,0.7187072341970794,N5 mai rapid
50,D1,Q026,23.343,27.556,0.8471113369139207,-18.048237158891318,0.3388445347655683,N2 mai rapid
50,D1,Q027,7.449,7.006,1.0632315158435626,5.947106994227408,0.42529260633742505,N5 mai rapid
50,D1,Q029,119.995,62.44,1.9217648942985268,47.964498520771706,0.7687059577194107,N5 mai rapid
50,D1,Q030,87.614,50.611,1.7311256446227106,42.234117835049204,0.6924502578490842,N5 mai rapid
50,D1,Q031,511.148,454.071,1.1257006062928485,11.16643320525562,0.4502802425171394,N5 mai rapid
50,D1,Q032,87.011,26.386,3.2976199499734706,69.67509855075795,1.3190479799893882,N5 mai rapid
50,D1,Q033,12.808,6.32,2.0265822784810124,50.655840099937535,0.8106329113924049,N5 mai rapid
50,D1,Q034,117.638,45.76,2.57076048951049,61.10100477736786,1.0283041958041959,N5 mai rapid
50,D1,Q035,14.938,12.989,1.1500500423435214,13.04726201633418,0.46002001693740857,N5 mai rapid
50,D1,Q036,505.428,369.691,1.3671633878022458,26.855852861337326,0.5468653551208983,N5 mai rapid
50,D1,Q037,205.46,103.21,1.9906985757194073,49.766377883772996,0.7962794302877629,N5 mai rapid
50,D1,Q038,80.361,47.908,1.6774025214995407,40.38401712273367,0.6709610085998163,N5 mai rapid
50,D1,Q039,35.94,26.864,1.3378499106611077,25.25319977740678,0.5351399642644431,N5 mai rapid
50,D1,Q040,18.508,21.438,0.8633268028734024,-15.830992003457963,0.3453307211493609,N2 mai rapid
50,D1,Q041,100.571,85.863,1.1712961345399067,14.624494138469338,0.4685184538159627,N5 mai rapid
50,D1,Q042,33.312,37.755,0.8823202224870876,-13.337536023054772,0.3529280889948351,N2 mai rapid
50,D1,Q043,15.418,18.678,0.8254631116821929,-21.1441172655338,0.33018524467287713,N2 mai rapid
50,D1,Q044,94.891,95.32,0.9954993705413345,-0.45209766995814965,0.3981997482165338,Similar (+/-5%)
50,D1,Q045,2174.796,1018.433,2.1354335533118034,53.17110202520144,0.8541734213247214,N5 mai rapid
50,D1,Q046,72.518,165.946,0.43699757752521906,-128.8342204694007,0.17479903101008762,N2 mai rapid
50,D1,Q047,115.822,142.914,0.8104314482835833,-23.391065600663072,0.3241725793134333,N2 mai rapid
50,D1,Q048,71.459,24.09,2.966334578663346,66.28836115814663,1.1865338314653384,N5 mai rapid
50,D1,Q049,22.688,22.534,1.0068341173338067,0.6787729196050772,0.40273364693352265,Similar (+/-5%)
50,D1,Q050,15.356,11.943,1.2857740936113204,22.225840062516284,0.5143096374445282,N5 mai rapid
50,D1,Q056,28.38,67.315,0.42159994057788014,-137.19168428470755,0.16863997623115207,N2 mai rapid
50,D1,Q057,145.661,131.955,1.1038687431321283,9.40951936345349,0.44154749725285136,N5 mai rapid
50,D1,Q058,152.937,185.846,0.8229232805656297,-21.518010684137906,0.3291693122262519,N2 mai rapid
50,D1,Q059,149.871,211.217,0.7095593631194459,-40.93253531370312,0.28382374524777837,N2 mai rapid
50,D1,Q060,239.254,243.825,0.98125294781093,-1.9105218721526067,0.392501179124372,Similar (+/-5%)
50,D1,Q061,1845.727,1542.74,1.1963953744636167,16.415591254828048,0.47855814978544664,N5 mai rapid
50,D1,Q062,28.404,50.169,0.566166357710937,-76.62653147444021,0.2264665430843748,N2 mai rapid
50,D1,Q063,28.904,42.936,0.6731880007452953,-48.54691392194852,0.26927520029811813,N2 mai rapid
50,D1,Q064,1116.785,1148.405,0.9724661595865571,-2.831341753336577,0.3889864638346229,Similar (+/-5%)
50,D1,Q066,279.28,113.387,2.4630689585225816,59.40024348324262,0.9852275834090326,N5 mai rapid
50,D1,Q067,102.143,33.853,3.0172510560363923,66.85724915070048,1.206900422414557,N5 mai rapid
50,D1,Q068,14.494,9.967,1.4541988562255441,31.233613909203804,0.5816795424902177,N5 mai rapid
50,D1,Q070,97.192,42.01,2.313544394191859,56.77627788295333,0.9254177576767436,N5 mai rapid
50,D1,Q071,10.395,9.566,1.086661091365252,7.974987974987964,0.43466443654610076,N5 mai rapid
50,D1,Q072,18.048,7.219,2.5000692616705913,60.00110815602836,1.0000277046682364,N5 mai rapid
50,D1,Q073,18.818,17.619,1.0680515352744198,6.371559145498998,0.4272206141097679,N5 mai rapid
50,D1,Q074,8.095,7.785,1.0398201669877971,3.829524397776411,0.41592806679511884,Similar (+/-5%)
50,D1,Q075,160.799,132.339,1.2150537634408602,17.699115044247794,0.4860215053763441,N5 mai rapid
50,D1,Q076,66.718,64.944,1.0273158413402317,2.6589526064930014,0.4109263365360927,Similar (+/-5%)
50,D1,Q077,12.155,11.082,1.0968236780364553,8.827642945289993,0.4387294712145821,N5 mai rapid
