mtry,min_n,.metric,.estimator,mean,n,std_err,.config
8,21,mae,standard,0.3739925797412396,5,0.008704294142563636,Preprocessor1_Model91
8,21,rmse,standard,0.47847593946758654,5,0.01532592215595953,Preprocessor1_Model91
8,21,rsq,standard,0.7256794129839187,5,0.01918007393723945,Preprocessor1_Model91
30,36,mae,standard,0.36955023919621127,5,0.009678777177852566,Preprocessor1_Model92
30,36,rmse,standard,0.47930793658625576,5,0.015624214279067837,Preprocessor1_Model92
30,36,rsq,standard,0.6936897236819464,5,0.017697712397036772,Preprocessor1_Model92
24,34,mae,standard,0.36793401903141176,5,0.01020231883832476,Preprocessor1_Model93
24,34,rmse,standard,0.4775148898352735,5,0.016382096794156566,Preprocessor1_Model93
24,34,rsq,standard,0.6972522357460408,5,0.018946639759822487,Preprocessor1_Model93
27,3,mae,standard,0.2780235752083836,5,0.008906434189657945,Preprocessor1_Model94
27,3,rmse,standard,0.38280026823426044,5,0.015951723468825296,Preprocessor1_Model94
27,3,rsq,standard,0.8039029173448975,5,0.013843212572348796,Preprocessor1_Model94
33,5,mae,standard,0.2788945827210838,5,0.008050652489956595,Preprocessor1_Model95
33,5,rmse,standard,0.38406777335880987,5,0.014882101071407333,Preprocessor1_Model95
33,5,rsq,standard,0.8022951032550348,5,0.012805885428392238,Preprocessor1_Model95
8,11,mae,standard,0.3501128938090834,5,0.008923879035886694,Preprocessor1_Model96
8,11,rmse,standard,0.45175391417146427,5,0.0158145306422492,Preprocessor1_Model96
8,11,rsq,standard,0.7546394233677656,5,0.017728210514303355,Preprocessor1_Model96
